transaction_id|credit_card_type|credit_card_number|retailer_name|amount|street|city|zip|region|country|latitude_longitude|timestamp
EE5A134C-50D3-3500-BB8B-4BCE8B7E29CB|MC|373682612507139|Wal-Mart|89.45|883-5634 Quam Ave|Omaha|78180|NE|United States|-72.06302, -164.8027|1450177420
3156B90F-0381-F693-B8F0-E1CBADD71C35|VISA|5154281641268179|Kroger|4.15|Ap #678-1399 Sollicitudin Rd.|Wichita|59699|KS|United States|4.79957, 123.26522|1409751816
F6C344E8-582F-48C0-F59B-F467223F9F9D|AmEx|5374945988841358|Costco|11.17|3398 Nam St.|Burlington|16861|VT|United States|47.28902, -123.88272|1452918744
C0D9A507-C34D-4CAF-04B2-28801289823D|MC|5148743173982940|Target|57.36|681 Consequat St.|Columbus|76426|GA|United States|-71.42823, 159.909|1460296702
3B52F337-45FB-D406-B5DD-844FAEF2538E|VISA|5147082938151431|The Home Depot|68.30|232-9315 Amet St.|Kapolei|61545|HI|United States|40.04761, 93.67295|1412195670
13485959-86BE-3462-AD2E-BB3ED241F4D0|AmEx|349657308952418|Walgreens|10.94|104-5122 Ut Street|Columbia|51318|MD|United States|-22.67615, 109.93553|1444537855
183E82BA-6202-6854-69A6-F78016B9ACC4|MC|345279934154822|CVS Caremark|93.21|P.O. Box 879, 2562 Suspendisse Road|Rock Springs|57785|WY|United States|-86.38745, 173.17601|1435125406
E1FC923C-0FC2-E381-4D60-58F18ECA1664|VISA|341733896550726|Lowe's|3.47|Ap #806-6052 Fringilla Ave|Henderson|41996|NV|United States|17.29294, 126.54285|1463216996
94726721-0ECA-8E1E-BB36-1A61AF27AB8D|AmEx|342392016618975|Amazon.com|6.34|Ap #186-4544 Lorem, Rd.|Shreveport|99717|LA|United States|72.68836, 77.54028|1455362965
92444567-4A3E-8636-0123-A57A21160A32|MC|347537760895218|Safeway|24.93|285-4756 Arcu. Ave|Topeka|93732|KS|United States|64.6187, 63.51355|1459720518
2FF03DCA-8263-9916-FDED-2DD28D1AFCD1|VISA|5134857587502332|McDonald's|89.73|7408 Praesent St.|Bowling Green|59676|KY|United States|59.70783, -13.50576|1438703020
72C3168B-9E8D-5AF2-E46F-53A32F43E5A4|AmEx|4108185775857418|Best Buy|7.41|2700 Vel, Rd.|Lakewood|70646|CO|United States|-69.09437, 32.10367|1456273970
B729C802-FE54-5E50-060F-B43F97513DEA|MC|5118068092092872|Publix|2.95|P.O. Box 462, 1542 Rutrum Rd.|Dallas|50845|TX|United States|67.49533, 127.21948|1406621353
585B1322-5272-1F12-8227-316AA27FEF31|VISA|343690921940371|Macy's|82.66|452-1247 Sem Road|Sandy|45102|UT|United States|22.71525, 166.88969|1438852151
0ED9581C-A7D8-5A2F-32F6-1F97AD7DB817|AmEx|5176123537062660|Apple Stores|1.12|Ap #610-7439 Mollis St.|Worcester|88321|MA|United States|19.23119, 109.47695|1437551849
D7689F65-BCF9-3E27-4610-DFC4BD9266FA|MC|4910023023327817|Sears Holdings|33.14|P.O. Box 579, 3993 Nisl Av.|Erie|83882|PA|United States|68.88358, -14.61212|1431061940
6035DB61-2B7D-349F-0857-0AB285ABBB1D|VISA|4649612468900155|Ahold USA|37.87|P.O. Box 847, 2333 Eget, Rd.|Davenport|28126|IA|United States|87.30286, 103.80518|1460149643
